,country,hazard_type,landslide_type,trigger,fatalities,injuries,latitude,longitude,distance,population,year,month,day,day_of_week,is_weekend,season,total_casualties,affected_area,population_density
50,119,1,5,4,1.0,0.0,39.221,71.188,29.06942,2899.0,2007.0,4.0,1.0,6.0,1,1.0,0.0,2654.743744429235,1.0920074700555626
51,119,1,5,4,0.0,0.0,37.576,72.592,73.47045,5521.0,2007.0,4.0,1.0,6.0,1,1.0,0.0,16958.02504885372,0.32556857205333545
52,26,1,5,13,7.0,0.0,29.3014,108.1536,1.01466,0.0,2007.0,4.0,2.0,0.0,0,1.0,0.0,3.234379327463147,0.0
53,40,1,5,15,0.0,0.0,-16.5834,179.4221,18.90987,27949.0,2007.0,4.0,5.0,3.0,0,1.0,0.0,1123.3807020697848,24.87936631678385
54,119,1,5,4,0.0,0.0,36.727,71.611,0.31668,26000.0,2007.0,4.0,5.0,3.0,0,1.0,0.0,0.3150584595481122,82524.3671834483
55,133,1,5,13,0.0,0.0,40.4377,-79.91599999999998,2.91977,15930.0,2007.0,4.0,6.0,4.0,0,1.0,0.0,26.782255980505962,594.7967942504541
56,53,1,5,4,0.0,0.0,27.4459,88.61929999999998,11.92749,1464.0,2007.0,4.0,11.0,2.0,0,1.0,0.0,446.93873446945605,3.275616739144032
57,109,1,5,13,0.0,0.0,41.8741,-1.2144,4.28556,1026.0,2007.0,4.0,13.0,4.0,0,1.0,0.0,57.698567687575824,17.782070528259016
58,23,1,8,13,0.0,0.0,45.3226,-73.7771,2.98682,42786.0,2007.0,4.0,14.0,5.0,1,1.0,0.0,28.026442468861934,1526.6297193279631
59,63,1,5,13,13.0,0.0,31.747,35.5915,18.85719,19783.0,2007.0,4.0,15.0,6.0,1,1.0,0.0,1117.1302875927072,17.70876702540237
60,133,1,5,4,0.0,0.0,37.4325,-82.4931,5.66542,6903.0,2007.0,4.0,15.0,6.0,1,1.0,0.0,100.83564843432902,68.45793236005915
61,23,1,5,13,0.0,0.0,50.2413,-57.5843,119.78675,4163.0,2007.0,4.0,15.0,6.0,1,1.0,0.0,45078.29036537536,0.09235044111605441
62,119,1,6,4,0.0,0.0,38.533,68.214,2.66467,37995.0,2007.0,4.0,17.0,1.0,0,1.0,0.0,22.30677247894281,1703.2943710645093
63,133,1,5,13,0.0,0.0,37.4814,-82.5186,0.23715,6903.0,2007.0,4.0,20.0,4.0,0,1.0,0.0,0.17668355568299005,39069.849898116896
64,54,1,5,13,5.0,0.0,-6.9667,110.4167,2.95753,1288084.0,2007.0,4.0,21.0,5.0,1,1.0,0.0,27.479459735817105,46874.42956970124
65,109,1,5,13,0.0,0.0,37.3385,-2.301,0.59066,6090.0,2007.0,4.0,23.0,0.0,0,1.0,0.0,1.0960364435509824,5556.384585415222
66,133,1,5,13,0.0,0.0,42.4941,-96.45760000000001,2.48033,2540.0,2007.0,4.0,24.0,1.0,0,1.0,0.0,19.3271939576135,131.42104361194274
67,54,1,5,13,30.0,0.0,-2.6857,118.8947,0.6793,15000.0,2007.0,5.0,1.0,1.0,0,1.0,0.0,1.4496831861941033,10347.088345130049
68,0,1,6,13,1.0,0.0,35.625,65.7424,15.84683,0.0,2007.0,5.0,4.0,4.0,0,1.0,0.0,788.9230964818457,0.0
69,110,1,5,13,0.0,0.0,6.0327,80.2174,0.44456,93118.0,2007.0,5.0,4.0,4.0,0,1.0,0.0,0.6208842457563108,149976.42577735436
70,40,1,5,13,0.0,0.0,-17.56,178.25,61.21328,14596.0,2007.0,5.0,5.0,5.0,1,1.0,0.0,11771.753913401424,1.2399171871392372
71,137,1,6,13,3.0,0.0,19.2675,104.8433,24.40903,0.0,2007.0,5.0,7.0,0.0,0,1.0,0.0,1871.7632451946133,0.0
72,53,1,5,13,0.0,0.0,33.242,75.23099999999998,0.79654,7317.0,2007.0,5.0,8.0,1.0,0,1.0,0.0,1.9932650512578063,3670.861532129291
73,19,1,5,13,0.0,0.0,43.1083,23.6083,8.7828,11975.0,2007.0,5.0,19.0,5.0,1,1.0,0.0,242.3348415746695,49.415098226022934
74,19,1,5,13,0.0,0.0,42.6452,23.2109,10.95219,1152556.0,2007.0,5.0,20.0,6.0,1,1.0,0.0,376.8355021397015,3058.5122512494095
75,26,1,5,13,10.0,0.0,28.2785,103.566,1.35199,0.0,2007.0,5.0,20.0,6.0,1,1.0,0.0,5.742444829516203,0.0
76,27,1,6,13,13.0,0.0,4.8081,-75.6941,0.62022,440118.0,2007.0,5.0,21.0,0.0,0,1.0,0.0,1.2084853945689003,364189.755191044
77,53,1,5,13,0.0,0.0,27.3383,88.60689999999998,1.48585,30700.0,2007.0,5.0,23.0,2.0,0,1.0,0.0,6.93585187996723,4426.27676185972
78,26,1,5,13,18.0,0.0,33.9334,105.2333,1.60764,0.0,2007.0,5.0,25.0,4.0,0,1.0,0.0,8.119466223891386,0.0
79,26,1,5,13,9.0,0.0,28.9973,101.5333,2.07593,0.0,2007.0,5.0,25.0,4.0,0,1.0,0.0,13.53864756312257,0.0
80,26,1,5,13,34.0,0.0,28.2668,103.5681,0.04457,0.0,2007.0,5.0,27.0,6.0,1,1.0,0.0,0.006240726368307055,0.0
81,23,1,5,4,0.0,0.0,54.5121,-128.5677,2.36318,19443.0,2007.0,5.0,28.0,0.0,0,1.0,0.0,17.544600261568583,1108.2042172593615
82,127,1,5,13,0.0,0.0,38.5035,43.3948,1.60003,371713.0,2007.0,5.0,28.0,0.0,0,1.0,0.0,8.042778788912049,46216.98666043777
83,10,1,5,9,128.0,150.0,22.3555,91.8205,2.48492,3920222.0,2007.0,6.0,11.0,0.0,0,2.0,278.0,19.39879241713115,202085.87811569322
84,10,1,6,4,3.0,0.0,22.6368,92.1453,25.83472,25708.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,2096.8018476593197,12.260576758217802
85,26,1,6,4,66.0,0.0,26.443,111.792,17.03062,66442.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,911.1938716755125,72.91752289534803
86,26,1,6,4,0.0,0.0,28.0333,102.8667,3.13089,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,30.795374625719596,0.0
87,26,1,6,4,0.0,0.0,25.934,118.288,8.41367,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,222.39285030571202,0.0
88,26,1,6,4,0.0,0.0,27.278,116.036,9.12332,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,261.49036343263464,0.0
89,26,1,6,4,0.0,0.0,22.76,113.247,0.57001,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,1.020739267621734,0.0
90,26,1,6,4,0.0,0.0,23.641,108.281,13.80524,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,598.7393409061674,0.0
91,26,1,6,4,0.0,0.0,22.854,113.493,3.13435,0.0,2007.0,6.0,11.0,0.0,0,2.0,0.0,30.863477224290737,0.0
92,53,1,5,13,0.0,0.0,26.7324,88.4089,3.15411,515574.0,2007.0,6.0,13.0,2.0,0,2.0,0.0,31.25385143192139,16496.3348956543
93,53,1,5,13,0.0,0.0,26.8096,88.52599999999998,10.70327,12311.0,2007.0,6.0,15.0,4.0,0,2.0,0.0,359.9008188729444,34.20664626035804
94,26,1,5,13,8.0,0.0,31.2912,112.188,4.67313,0.0,2007.0,6.0,17.0,6.0,1,2.0,0.0,68.60655274869707,0.0
95,118,1,5,13,0.0,0.0,23.4535,120.4256,3.70701,0.0,2007.0,6.0,24.0,6.0,1,2.0,0.0,43.17152478313374,0.0
96,53,1,5,13,18.0,0.0,16.9648,73.5189,11.96851,13121.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,450.01816731947457,29.15660067271286
97,53,1,5,13,10.0,0.0,18.431,79.14919999999998,2.36029,228745.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,17.501714919665886,13069.862070657406
98,53,1,5,13,2.0,0.0,19.0298,72.91039999999998,5.589,12691836.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,98.13368153436475,129332.10903287608
99,53,1,5,13,0.0,0.0,11.2738,75.8275,5.8806,439922.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,108.64084925101204,4049.3240160850632
100,53,1,5,9,4.0,0.0,11.7095,76.074,3.87096,11651.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,47.074665198893996,247.50043257394717
101,53,1,5,13,0.0,0.0,15.8294,78.0501,10.53686,14060.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,348.79663962273054,40.3100213786685
102,53,1,5,13,0.0,0.0,14.4702,78.82049999999998,0.87095,127010.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,2.383067367445868,53296.856704528334
103,53,1,5,13,0.0,0.0,16.6252,80.61279999999998,8.53133,38714.0,2007.0,6.0,25.0,0.0,0,2.0,0.0,228.65639657473628,169.3108112431324
104,37,1,5,4,0.0,0.0,-4.065,-78.95099999999998,0.47714,15276.0,2007.0,6.0,27.0,2.0,0,2.0,0.0,0.7152230875686615,21358.370927215772
105,37,1,5,4,0.0,0.0,-3.99,-79.205,0.35649,117796.0,2007.0,6.0,27.0,2.0,0,2.0,0.0,0.39924967968673647,295043.44272092177
106,37,1,5,4,0.0,0.0,-0.356,-78.14799999999998,33.94603,5114.0,2007.0,6.0,27.0,2.0,0,2.0,0.0,3620.1607388830776,1.4126444566596272
107,26,1,5,13,0.0,0.0,38.9325,121.553,4.82581,2035307.0,2007.0,6.0,28.0,3.0,0,2.0,0.0,73.16279879115459,27818.87835934004
108,133,1,5,13,0.0,0.0,32.7995,-97.26880000000001,0.03668,42409.0,2007.0,7.0,1.0,6.0,1,2.0,0.0,0.004226769127815147,10033431.852456434
109,137,1,5,13,3.0,0.0,21.0233,107.293,1.03388,135477.0,2007.0,7.0,1.0,6.0,1,2.0,0.0,3.3580730627474678,40343.67253735601
110,53,1,5,4,0.0,0.0,33.2443135,75.22742083,0.16739,7317.0,2007.0,7.0,2.0,0.0,0,2.0,0.0,0.08802557921126497,83123.56550859952
111,84,1,5,13,23.0,0.0,34.5625,73.8319,6.0825,0.0,2007.0,7.0,2.0,0.0,0,2.0,0.0,116.22889472128492,0.0
112,62,1,5,15,0.0,0.0,31.572,130.5149,4.30907,555352.0,2007.0,7.0,3.0,1.0,0,2.0,0.0,58.33335711784608,9520.316118238628
113,82,1,6,13,21.0,0.0,60.4279,9.398,3.53259,0.0,2007.0,7.0,3.0,1.0,0,2.0,0.0,39.20453824954268,0.0
114,73,1,5,13,7.0,0.0,18.5369,-96.8229,9.51003,1947.0,2007.0,7.0,4.0,2.0,0,2.0,0.0,284.1277463455218,6.852551449277657
115,77,1,5,13,7.0,0.0,28.1952,83.60989999999998,8.72599,23296.0,2007.0,7.0,5.0,3.0,0,2.0,0.0,239.20997991289352,97.38724115307839
116,132,1,5,13,0.0,0.0,51.3681,-0.4367,1.21963,19463.0,2007.0,7.0,5.0,3.0,0,2.0,0.0,4.673110705839421,4164.891701726528
117,84,1,5,13,22.0,0.0,35.3544,73.02079999999998,25.50012,0.0,2007.0,7.0,7.0,5.0,1,2.0,0.0,2042.8398495890417,0.0
118,23,1,5,16,0.0,0.0,45.4257,-75.6896,1.74759,812129.0,2007.0,7.0,8.0,6.0,1,2.0,0.0,9.594646414270002,84643.97383025291
119,89,1,5,13,0.0,0.0,7.8098,125.4498,12.76242,0.0,2007.0,7.0,10.0,1.0,0,2.0,0.0,511.70061416928223,0.0
120,89,1,5,13,26.0,0.0,9.75,122.5,1.13847,5004.0,2007.0,7.0,11.0,2.0,0,2.0,0.0,4.071862034946756,1228.92179475954
121,89,1,5,13,3.0,0.0,29.356,81.30979999999998,33.93016,0.0,2007.0,7.0,12.0,3.0,0,2.0,0.0,3616.776630559537,0.0
122,89,1,5,13,0.0,0.0,28.2168,83.6666,9.70301,23296.0,2007.0,7.0,12.0,3.0,0,2.0,0.0,295.775931400821,78.76232487771429
123,35,1,5,16,0.0,0.0,18.4757,-69.914,1.70298,13456.0,2007.0,7.0,13.0,4.0,0,2.0,0.0,9.111061284240074,1476.8861255796419
124,89,1,5,16,0.0,0.0,8.9697,125.5593,2.85205,309709.0,2007.0,7.0,13.0,4.0,0,2.0,0.0,25.554309041483425,12119.638981325454
125,53,1,6,13,0.0,0.0,27.1499,88.38,2.01104,1147.0,2007.0,7.0,16.0,0.0,0,2.0,0.0,12.705486248280865,90.2759624925962
126,56,1,5,13,0.0,0.0,54.8226,-5.9506,7.53836,9472.0,2007.0,7.0,17.0,1.0,0,2.0,0.0,178.52688199821864,53.056435501374594
127,133,1,5,13,0.0,0.0,46.1836,-123.8203,0.9705,9477.0,2007.0,7.0,17.0,1.0,0,2.0,0.0,2.958972658034782,3202.8008012396444
128,26,1,5,13,27.0,0.0,25.0333,98.4667,6.29973,0.0,2007.0,7.0,19.0,3.0,0,2.0,0.0,124.6791249517935,0.0
129,53,1,5,13,6.0,0.0,26.1699,91.7986,3.80164,2000.0,2007.0,7.0,19.0,3.0,0,2.0,0.0,45.403763178298554,44.04921222379936
130,53,1,5,4,0.0,0.0,11.855,75.361,1.43277,62836.0,2007.0,7.0,20.0,4.0,0,2.0,0.0,6.4491552477723095,9743.291576320022
131,132,1,5,13,0.0,0.0,51.4536,-1.3166,2.24648,2168.0,2007.0,7.0,20.0,4.0,0,2.0,0.0,15.854588906755081,136.74274449817437
132,53,1,5,13,1.0,0.0,23.9304,88.23739999999998,2.35894,27489.0,2007.0,7.0,21.0,5.0,1,2.0,0.0,17.48169995696278,1572.4443313678667
133,119,1,5,13,20.0,0.0,38.0,73.0,86.89138,10815.0,2007.0,7.0,21.0,5.0,1,2.0,0.0,23719.37613632584,0.4559563429426376
134,26,1,5,13,4.0,0.0,25.1424,98.4802,16.66361,0.0,2007.0,7.0,22.0,6.0,1,2.0,0.0,872.3445619649121,0.0
135,119,1,5,4,0.0,0.0,40.75,70.44,11.69077,11705.0,2007.0,7.0,22.0,6.0,1,2.0,0.0,429.374358526788,27.260593856048214
136,54,1,5,13,3.0,0.0,-1.824,121.5179,93.15652,0.0,2007.0,7.0,23.0,0.0,0,2.0,0.0,27263.172132516433,0.0
137,133,1,5,13,0.0,0.0,32.7883,-97.0317,5.66936,175396.0,2007.0,7.0,24.0,1.0,0,2.0,0.0,100.97594892494656,1737.0076921026848
138,133,1,5,13,0.0,0.0,57.7856,-152.4346,1.70063,6130.0,2007.0,7.0,25.0,2.0,0,2.0,0.0,9.085933307236616,674.6692709176808
139,133,1,5,13,0.0,0.0,20.6479,-156.0898,16.00699,1235.0,2007.0,7.0,25.0,2.0,0,2.0,0.0,804.950584262273,1.5342556725166698
140,53,1,5,13,0.0,0.0,25.38,91.88,19.36242,11090.0,2007.0,7.0,26.0,3.0,0,2.0,0.0,1177.793479024816,9.415912209993087
141,53,1,9,13,8.0,0.0,25.5212,90.23200000000001,0.94369,63645.0,2007.0,7.0,27.0,4.0,0,2.0,0.0,2.797747901508155,22748.654360777648
142,53,1,5,13,0.0,0.0,15.4014,73.82769999999998,1.42927,100485.0,2007.0,7.0,28.0,5.0,1,2.0,0.0,6.417685474338329,15657.513974749614
143,54,1,5,4,4.0,0.0,0.777,120.413,12.63607,0.0,2007.0,7.0,28.0,5.0,1,2.0,0.0,501.61893166179294,0.0
144,77,1,5,13,0.0,0.0,28.0764,83.2519,36.15885,0.0,2007.0,7.0,28.0,5.0,1,2.0,0.0,4107.514375370602,0.0
145,53,1,5,4,2.0,0.0,30.733,78.43899999999998,0.54749,17123.0,2007.0,7.0,30.0,0.0,0,2.0,0.0,0.941677632742228,18183.505060151725
146,53,1,5,4,0.0,0.0,22.533,92.899,9.62825,22654.0,2007.0,7.0,30.0,0.0,0,2.0,0.0,291.2356859974295,77.78579717116105
147,53,1,5,4,0.0,0.0,22.479,92.96700000000001,2.05477,22654.0,2007.0,7.0,30.0,0.0,0,2.0,0.0,13.26405473458085,1707.924194623423
148,53,1,5,4,0.0,0.0,30.557,79.56,0.6405,13865.0,2007.0,7.0,30.0,0.0,0,2.0,0.0,1.28880775560684,10758.004783631684
149,53,1,5,4,0.0,0.0,30.4,79.349,8.34102,2000.0,2007.0,7.0,30.0,0.0,0,2.0,0.0,218.56881504531435,9.150436211979068
150,53,1,6,13,3.0,0.0,26.8905,88.27889999999998,0.89953,46427.0,2007.0,8.0,2.0,3.0,0,2.0,0.0,2.542032956000613,18263.72859974393
151,77,1,5,13,0.0,0.0,26.4596,87.2758,2.71056,182324.0,2007.0,8.0,2.0,3.0,0,2.0,0.0,23.081706954454432,7899.069178885582
152,89,1,5,13,0.0,0.0,10.3658,123.8897,5.42969,798634.0,2007.0,8.0,2.0,3.0,0,2.0,0.0,92.61896904790916,8622.790862494801
153,77,1,5,13,0.0,0.0,27.9271,83.52899999999998,6.85143,23693.0,2007.0,8.0,3.0,4.0,0,2.0,0.0,147.47293465398636,160.65998859784372
154,26,1,6,13,38.0,0.0,30.6018,114.2584,2.19542,4184206.0,2007.0,8.0,4.0,5.0,1,2.0,0.0,15.142064967523595,276329.9463431311
155,89,1,5,13,10.0,0.0,16.3922,120.6794,3.14394,28407.0,2007.0,8.0,4.0,5.0,1,2.0,0.0,31.05262875150795,914.8017782108229
156,53,1,5,13,0.0,0.0,33.2451,75.2257,1.36072,7317.0,2007.0,8.0,6.0,0.0,0,2.0,0.0,5.816843895734102,1257.898635609951
157,89,1,5,13,6.0,0.0,7.365123589,126.0356157,4.78754,2661.0,2007.0,8.0,6.0,0.0,0,2.0,0.0,72.00699772914305,36.95474167676659
158,132,1,6,13,0.0,0.0,60.1346,-2.0885,49.04189,1217.0,2007.0,8.0,6.0,0.0,0,2.0,0.0,7555.866403041602,0.16106690286505046
159,132,1,5,13,0.0,0.0,57.6778,-2.2651,9.30801,1320.0,2007.0,8.0,6.0,0.0,0,2.0,0.0,272.1846034969677,4.849649770930946
160,26,1,5,13,0.0,0.0,32.677,109.0241,0.72581,132654.0,2007.0,8.0,7.0,1.0,0,2.0,0.0,1.6549915003137161,80153.88597153184
161,53,1,5,13,0.0,0.0,15.0296,74.0253,2.26279,12444.0,2007.0,8.0,7.0,1.0,0,2.0,0.0,16.085641088582488,773.6092041014574
162,75,1,5,13,0.0,0.0,21.5332,94.43320000000001,70.98718,126938.0,2007.0,8.0,8.0,2.0,0,2.0,0.0,15831.050002144138,8.018293163296665
163,89,1,5,13,1.0,0.0,16.4357,120.5763,2.44792,41258.0,2007.0,8.0,8.0,2.0,0,2.0,0.0,18.825404382633803,2191.612948195683
164,48,1,6,13,5.0,0.0,14.5667,-90.45,4.74385,47247.0,2007.0,8.0,9.0,3.0,0,2.0,0.0,70.69875551872187,668.2861622293823
165,53,1,5,13,0.0,0.0,12.8733,74.8481,4.93601,417387.0,2007.0,8.0,9.0,3.0,0,2.0,0.0,76.54237514329738,5453.018660821495
166,123,1,5,13,0.0,0.0,14.7333,98.6333,1.1497,0.0,2007.0,8.0,9.0,3.0,0,2.0,0.0,4.152588868184862,0.0
167,77,1,0,4,6.0,0.0,27.863,84.914,41.00006,44632.0,2007.0,8.0,10.0,4.0,0,2.0,0.0,5281.0327073316075,8.451377310736557
168,77,1,0,4,0.0,0.0,27.016,86.85,25.98053,3250.0,2007.0,8.0,10.0,4.0,0,2.0,0.0,2120.537150678271,1.5326305407856031
169,77,1,0,4,0.0,0.0,28.601,81.601,3.21858,31381.0,2007.0,8.0,10.0,4.0,0,2.0,0.0,32.54456636768929,964.2469850560216
170,122,1,5,13,0.0,0.0,-41.7689,145.5473,1.38874,1035.0,2007.0,8.0,10.0,4.0,0,2.0,0.0,6.058871782846342,170.82388224986943
